measure_date,collected_at,merge_bulk_sec,merge_bulk_rows,copy_bulk_sec,copy_bulk_rows,merge_stg_sec,merge_stg_rows,avg_depth,total_partitions,ac_credits_cumul,ac_gb_reclustered,ac_runs_cumul
2026-04-22,2026-04-29T09:18:05Z,,,615.0,265104983,,,4.2332,386,0.4757,26.73,4
2026-04-23,2026-04-29T09:18:12Z,163.9,258687261,,,,,4.2332,386,0.4757,26.73,4
2026-04-24,2026-04-29T09:18:19Z,17.2,7553470,,,995.7,265680407,4.2332,386,0.4757,26.73,4
2026-04-25,2026-04-29T09:18:25Z,21.2,7121723,,,124.8,7460624,4.2332,386,0.4757,26.73,4
2026-04-26,2026-04-29T09:18:32Z,,,,,,,4.2332,386,0.4757,26.73,4
2026-04-27,2026-04-29T09:18:40Z,,,620.8,266239223,1064.8,266239223,4.2332,386,0.4757,26.73,4
2026-04-28,2026-04-29T09:18:46Z,144.6,207251543,,,131.5,116107523,4.2332,386,0.4757,26.73,4
2026-04-29,2026-04-30T06:55:32Z,42.2,53218191,,,137.9,42395179,4.4591,464,0.4881,27.34,5
